"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1979-04","Quebec","","Units","300","thousands","3","v730396","6","46.2","","","","1"
"1979-04","Ontario","","Units","300","thousands","3","v730397","7","52.8","","","","1"
"1979-04","Manitoba","","Units","300","thousands","3","v730398","8","9.2","","","","1"
"1979-04","Saskatchewan","","Units","300","thousands","3","v730399","9","4.7","","","","1"
"1979-04","Alberta","","Units","300","thousands","3","v730400","10","35.2","","","","1"
"1979-04","British Columbia","","Units","300","thousands","3","v730392","11","24.4","","","","1"
"1979-05","Canada","","Units","300","thousands","3","v730390","1","205.8","","","","1"
"1979-05","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","3.9","","","","1"
"1979-05","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.6","","","","1"
"1979-05","Nova Scotia","","Units","300","thousands","3","v730394","4","5.7","","","","1"
"1979-05","New Brunswick","","Units","300","thousands","3","v730395","5","6.1","","","","1"
"1979-05","Quebec","","Units","300","thousands","3","v730396","6","41.0","","","","1"
"1979-05","Ontario","","Units","300","thousands","3","v730397","7","61.6","","","","1"
"1979-05","Manitoba","","Units","300","thousands","3","v730398","8","5.6","","","","1"
"1979-05","Saskatchewan","","Units","300","thousands","3","v730399","9","12.9","","","","1"
"1979-05","Alberta","","Units","300","thousands","3","v730400","10","38.6","","","","1"
"1979-05","British Columbia","","Units","300","thousands","3","v730392","11","29.8","","","","1"
"1979-06","Canada","","Units","300","thousands","3","v730390","1","190.3","","","","1"
"1979-06","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","3.4","","","","1"
"1979-06","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.6","","","","1"
"1979-06","Nova Scotia","","Units","300","thousands","3","v730394","4","5.0","","","","1"
"1979-06","New Brunswick","","Units","300","thousands","3","v730395","5","6.5","","","","1"
"1979-06","Quebec","","Units","300","thousands","3","v730396","6","45.6","","","","1"
"1979-06","Ontario","","Units","300","thousands","3","v730397","7","49.7","","","","1"
"1979-06","Manitoba","","Units","300","thousands","3","v730398","8","4.6","","","","1"
"1979-06","Saskatchewan","","Units","300","thousands","3","v730399","9","12.7","","","","1"
"1979-06","Alberta","","Units","300","thousands","3","v730400","10","37.9","","","","1"
"1979-06","British Columbia","","Units","300","thousands","3","v730392","11","24.3","","","","1"
"1979-07","Canada","","Units","300","thousands","3","v730390","1","180.4","","","","1"
